"","Construction","Russian","Arabic","Guarani","Estonian","Tsaxur","Tuvan","Ingerm","Basque","French","German","Bagwalal","Japanese","Lithuanian","Kalmyk","Khmer","Bashkir","Latvian","Guro","Looma","Lezgi","GreekModern","GreekAncientr","Albanian","Spanish","Irish","Armenian","Azerbaijani","RomaniKalderash","English","MandarinChinese","Polish","Dutch","Italian","Komi.Zyrian","Ossetic","Serbian","Chukchee","NorwegianBokmål"
"102","shoot_atr","intr","intr","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","tr","intr","tr","tr","intr","unknown","intr","intr","tr","tr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr","tr","intr"
"103","pour","tr","tr","unknown","tr","unknown","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown"
"104","lose","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"105","sink","intr","intr","unknown","intr","unknown","intr","intr","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr"
"106","kill","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"107","hitr","tr","tr","unknown","intr","unknown","tr","tr","tr","tr","tr","intr","tr","intr","tr","tr","intr","intr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"108","kiss","tr","tr","tr","intr","unknown","tr","intr","intr","tr","tr","intr","intr","tr","tr","tr","tr","tr","intr","unknown","intr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr"
"109","read","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"110","move#bodypart#","intr","tr","unknown","intr","tr","tr","intr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","intr","tr","tr","intr","tr","intr","tr","intr"
"111","respectr","tr","tr","unknown","unknown","unknown","tr","intr","tr","tr","tr","unknown","tr","tr","tr","unknown","tr","tr","tr","intr","intr","tr","tr","tr","tr","intr","tr","tr","intr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr"
"112","be_squeamish","intr","unknown","unknown","unknown","unknown","intr","intr","unknown","unknown","tr","unknown","unknown","intr","intr","unknown","intr","tr","intr","unknown","unknown","tr","unknown","intr","intr","unknown","intr","intr","intr","intr","unknown","intr","intr","intr","tr","intr","unknown","intr","unknown"
"113","be_contentr","intr","intr","unknown","unknown","unknown","intr","intr","intr","intr","intr","unknown","intr","intr","unknown","unknown","intr","unknown","unknown","unknown","intr","intr","tr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr"
"114","fall_in_love","intr","tr","unknown","unknown","unknown","intr","tr","intr","intr","intr","unknown","intr","tr","unknown","unknown","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","unknown","intr","tr","intr"
"115","trustr","intr","intr","unknown","unknown","unknown","intr","intr","intr","intr","intr","unknown","tr","intr","unknown","unknown","unknown","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","tr","tr","intr","tr","intr","unknown","unknown","intr","intr","intr"
"116","sympathise","tr","unknown","unknown","unknown","unknown","tr","intr","intr","intr","tr","unknown","unknown","intr","unknown","unknown","tr","unknown","intr","unknown","intr","intr","tr","intr","tr","intr","tr","intr","intr","intr","tr","intr","intr","intr","tr","intr","intr","tr","intr"
"117","envy","intr","tr","unknown","unknown","unknown","intr","intr","intr","tr","tr","unknown","unknown","intr","intr","unknown","intr","tr","intr","unknown","intr","tr","intr","tr","tr","intr","intr","unknown","intr","tr","tr","intr","intr","tr","intr","intr","intr","intr","tr"
"118","be_angry","intr","unknown","unknown","unknown","unknown","intr","intr","intr","intr","intr","unknown","unknown","intr","unknown","unknown","intr","unknown","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","unknown","intr","intr","intr"
"119","be_surprised","intr","intr","unknown","unknown","unknown","tr","intr","intr","intr","intr","unknown","intr","intr","unknown","unknown","intr","intr","unknown","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr"
"120","love2","tr","tr","unknown","unknown","unknown","intr","intr","unknown","unknown","tr","unknown","intr","tr","intr","unknown","unknown","tr","unknown","intr","intr","tr","tr","intr","intr","intr","tr","tr","unknown","tr","tr","tr","unknown","unknown","unknown","unknown","unknown","unknown","tr"
"121","enjoy","intr","intr","unknown","unknown","unknown","tr","intr","tr","intr","tr","unknown","tr","intr","unknown","unknown","intr","unknown","intr","unknown","intr","tr","intr","intr","intr","unknown","tr","intr","intr","tr","tr","intr","intr","tr","intr","intr","intr","unknown","tr"
"122","wantr","tr","tr","unknown","unknown","unknown","tr","tr","tr","tr","tr","unknown","unknown","intr","unknown","unknown","unknown","unknown","intr","unknown","intr","tr","intr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr"
"123","have_a_grudge","intr","intr","unknown","unknown","unknown","intr","intr","unknown","intr","intr","unknown","intr","intr","unknown","unknown","intr","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","unknown","intr","intr","intr","intr","intr"
"124","take_offence","intr","intr","unknown","unknown","unknown","intr","intr","unknown","intr","intr","unknown","unknown","unknown","intr","unknown","intr","unknown","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr","tr","intr","unknown","intr","intr","intr","unknown","intr","intr"
"125","upsetr","tr","tr","unknown","unknown","unknown","tr","unknown","tr","tr","tr","unknown","tr","tr","tr","unknown","tr","unknown","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr"
"126","marvel","intr","intr","unknown","unknown","unknown","tr","unknown","unknown","intr","intr","unknown","unknown","intr","unknown","unknown","intr","unknown","intr","intr","unknown","tr","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","unknown","intr","intr","unknown","intr","intr","intr"
"127","despise","tr","tr","unknown","unknown","unknown","tr","unknown","tr","tr","tr","unknown","tr","tr","unknown","unknown","unknown","unknown","unknown","unknown","tr","tr","tr","tr","tr","intr","tr","intr","intr","tr","tr","intr","tr","tr","unknown","tr","tr","intr","tr"
"128","get_upsetr","intr","unknown","unknown","unknown","unknown","intr","intr","intr","intr","unknown","unknown","intr","intr","unknown","unknown","intr","unknown","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr"
"129","get_irritated","intr","unknown","unknown","unknown","unknown","intr","unknown","unknown","intr","intr","unknown","intr","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","unknown","intr","intr","intr"
"130","be_fond","intr","unknown","unknown","unknown","unknown","tr","intr","tr","intr","intr","unknown","intr","intr","unknown","unknown","unknown","intr","unknown","unknown","intr","tr","unknown","tr","intr","intr","intr","intr","unknown","intr","intr","tr","unknown","intr","unknown","unknown","intr","tr","unknown"
"131","be_shy","intr","intr","unknown","unknown","unknown","intr","intr","intr","intr","intr","unknown","tr","intr","intr","unknown","intr","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr"
