"","Construction","Russian","Arabic","Guarani","Estonian","Tsaxur","Tuvan","Ingerm","Basque","French","German","Bagwalal","Japanese","Lithuanian","Kalmyk","Khmer","Bashkir","Latvian","Guro","Looma","Lezgi","GreekModern","GreekAncientr","Albanian","Spanish","Irish","Armenian","Azerbaijani","RomaniKalderash","English","MandarinChinese","Polish","Dutch","Italian","Komi.Zyrian","Ossetic","Serbian","Chukchee","NorwegianBokmål"
"24","be_friends","intr","tr","unknown","intr","unknown","intr","intr","unknown","intr","intr","unknown","intr","intr","intr","intr","intr","intr","unknown","unknown","intr","unknown","intr","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr"
"25","think","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","tr","intr","intr","intr","unknown","intr","intr","tr","tr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr"
"26","eatr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"27","fry","tr","tr","unknown","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"28","waitr","tr","tr","tr","intr","tr","tr","intr","intr","tr","intr","unknown","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","intr","tr","intr","intr","tr","tr","intr","tr","tr","intr"
"29","forgetr","intr","tr","intr","tr","intr","intr","tr","intr","tr","tr","intr","tr","intr","intr","tr","tr","intr","unknown","intr","unknown","tr","intr","intr","intr","intr","intr","tr","intr","intr","tr","intr","tr","intr","intr","tr","intr","tr","tr"
"30","15","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","depend","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","unknown","intr","intr","unknown","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","unknown","intr","intr","unknown","intr"
"32","call","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","intr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","intr"
"33","get_to_know","intr","intr","unknown","intr","intr","intr","intr","tr","unknown","tr","unknown","intr","intr","intr","unknown","intr","intr","tr","tr","intr","intr","unknown","intr","tr","intr","intr","intr","intr","tr","intr","intr","intr","unknown","intr","intr","tr","tr","intr"
