Construction,Russian,Arabic,Guarani,Estonian,Tsaxur,Tuvan,Ingerm,Basque,French,German,Bagwalal,Japanese,Lithuanian,Kalmyk,Khmer,Bashkir,Latvian,Guro,Looma,Lezgi,GreekModern,GreekAncientr,Albanian,Spanish,Irish,Armenian,Azerbaijani,RomaniKalderash,English,MandarinChinese,Polish,Dutch,Italian,Komi.Zyrian,Ossetic,Serbian,Chukchee,NorwegianBokm
be_angry,intr,unknown,unknown,unknown,unknown,intr,intr,intr,intr,intr,unknown,unknown,intr,unknown,unknown,intr,unknown,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,intr,intr
be_surprised,intr,intr,unknown,unknown,unknown,tr,intr,intr,intr,intr,unknown,intr,intr,unknown,unknown,intr,intr,unknown,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
love2,tr,tr,unknown,unknown,unknown,intr,intr,unknown,unknown,tr,unknown,intr,tr,intr,unknown,unknown,tr,unknown,intr,intr,tr,tr,intr,intr,intr,tr,tr,unknown,tr,tr,tr,unknown,unknown,unknown,unknown,unknown,unknown,tr
enjoy,intr,intr,unknown,unknown,unknown,tr,intr,tr,intr,tr,unknown,tr,intr,unknown,unknown,intr,unknown,intr,unknown,intr,tr,intr,intr,intr,unknown,tr,intr,intr,tr,tr,intr,intr,tr,intr,intr,intr,unknown,tr
wantr,tr,tr,unknown,unknown,unknown,tr,tr,tr,tr,tr,unknown,unknown,intr,unknown,unknown,unknown,unknown,intr,unknown,intr,tr,intr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr
have_a_grudge,intr,intr,unknown,unknown,unknown,intr,intr,unknown,intr,intr,unknown,intr,intr,unknown,unknown,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,intr,intr,intr,intr
take_offence,intr,intr,unknown,unknown,unknown,intr,intr,unknown,intr,intr,unknown,unknown,unknown,intr,unknown,intr,unknown,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,tr,intr,unknown,intr,intr,intr,unknown,intr,intr
upsetr,tr,tr,unknown,unknown,unknown,tr,unknown,tr,tr,tr,unknown,tr,tr,tr,unknown,tr,unknown,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr
marvel,intr,intr,unknown,unknown,unknown,tr,unknown,unknown,intr,intr,unknown,unknown,intr,unknown,unknown,intr,unknown,intr,intr,unknown,tr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,unknown,intr,intr,unknown,intr,intr,intr
despise,tr,tr,unknown,unknown,unknown,tr,unknown,tr,tr,tr,unknown,tr,tr,unknown,unknown,unknown,unknown,unknown,unknown,tr,tr,tr,tr,tr,intr,tr,intr,intr,tr,tr,intr,tr,tr,unknown,tr,tr,intr,tr
get_upsetr,intr,unknown,unknown,unknown,unknown,intr,intr,intr,intr,unknown,unknown,intr,intr,unknown,unknown,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
get_irritated,intr,unknown,unknown,unknown,unknown,intr,unknown,unknown,intr,intr,unknown,intr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr
be_fond,intr,unknown,unknown,unknown,unknown,tr,intr,tr,intr,intr,unknown,intr,intr,unknown,unknown,unknown,intr,unknown,unknown,intr,tr,unknown,tr,intr,intr,intr,intr,unknown,intr,intr,tr,unknown,intr,unknown,unknown,intr,tr,unknown
be_shy,intr,intr,unknown,unknown,unknown,intr,intr,intr,intr,intr,unknown,tr,intr,intr,unknown,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr
