Construction,Russian,Arabic,Guarani,Estonian,Tsaxur,Tuvan,Ingerm,Basque,French,German,Bagwalal,Japanese,Lithuanian,Kalmyk,Khmer,Bashkir,Latvian,Guro,Looma,Lezgi,GreekModern,GreekAncientr,Albanian,Spanish,Irish,Armenian,Azerbaijani,RomaniKalderash,English,MandarinChinese,Polish,Dutch,Italian,Komi.Zyrian,Ossetic,Serbian,Chukchee,NorwegianBokm
sing,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
write,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
drink,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
meltr,tr,tr,unknown,tr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
match,intr,tr,unknown,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,unknown,intr,unknown,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
leave,intr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,intr,intr,intr,tr,intr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
cover,tr,tr,unknown,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,unknown,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr
remember,intr,tr,intr,intr,unknown,tr,tr,tr,intr,intr,intr,tr,tr,unknown,tr,tr,tr,intr,intr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr
help,intr,tr,intr,unknown,unknown,intr,intr,intr,tr,intr,tr,tr,intr,intr,tr,intr,intr,intr,intr,intr,tr,intr,tr,tr,intr,intr,intr,intr,tr,tr,intr,tr,tr,intr,intr,intr,tr,tr
understand,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,unknown,unknown,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
hit#target#,intr,intr,intr,unknown,intr,intr,intr,intr,intr,tr,unknown,intr,intr,unknown,tr,intr,intr,intr,intr,intr,tr,intr,intr,intr,tr,intr,intr,intr,tr,tr,intr,intr,intr,intr,intr,intr,tr,tr
cut_oneself,intr,intr,unknown,unknown,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
get_stuck,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
lose#game#,intr,unknown,unknown,intr,unknown,intr,unknown,intr,intr,intr,intr,intr,intr,unknown,tr,intr,intr,unknown,unknown,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr
be_glad,intr,intr,unknown,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
speak,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
give_birth,tr,tr,unknown,intr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr
drop,tr,tr,unknown,intr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,intr,tr,tr
govern,intr,tr,tr,intr,unknown,tr,tr,tr,tr,tr,unknown,tr,intr,tr,unknown,tr,unknown,unknown,unknown,intr,tr,intr,tr,tr,tr,tr,tr,intr,tr,tr,intr,tr,tr,intr,unknown,intr,intr,unknown
miss,intr,intr,tr,intr,unknown,tr,intr,tr,intr,intr,unknown,unknown,intr,unknown,intr,tr,intr,unknown,unknown,intr,intr,tr,intr,tr,tr,tr,unknown,intr,tr,tr,intr,tr,unknown,intr,intr,intr,tr,intr
follow,intr,tr,unknown,intr,unknown,intr,intr,intr,tr,intr,unknown,intr,tr,tr,tr,unknown,unknown,intr,unknown,unknown,tr,intr,tr,tr,tr,intr,unknown,intr,tr,tr,intr,tr,tr,unknown,intr,tr,intr,intr
dismountr,intr,intr,unknown,intr,unknown,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
listen,tr,tr,tr,tr,unknown,tr,intr,tr,tr,tr,tr,tr,intr,unknown,tr,tr,intr,tr,intr,intr,tr,intr,tr,tr,intr,tr,tr,tr,intr,tr,intr,intr,tr,tr,unknown,tr,tr,intr
obey,tr,unknown,unknown,unknown,unknown,tr,intr,intr,intr,intr,unknown,unknown,unknown,unknown,unknown,unknown,intr,tr,intr,unknown,tr,intr,tr,tr,intr,tr,unknown,unknown,intr,unknown,intr,unknown,intr,intr,unknown,unknown,intr,intr
hear,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,tr,tr,tr,unknown,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr
